,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
0,Punta Arenas,-53.15,-70.92,33.8,55,40,6.93,CL,1598832188
1,Caravelas,-17.71,-39.25,70.99,91,0,4.92,BR,1598832223
2,Hasaki,35.73,140.83,80.01,88,75,10.29,JP,1598832192
3,Karratha,-20.74,116.85,80.33,28,3,6.89,AU,1598832252
4,Barrow,71.29,-156.79,39.2,86,90,17.22,US,1598832202
5,Dikson,73.51,80.55,41.72,97,100,14.58,RU,1598832194
6,Vaini,-21.2,-175.2,78.8,83,75,18.34,TO,1598832193
7,Mataura,-46.19,168.86,60.62,47,33,15.08,NZ,1598832202
8,Korla,41.76,86.15,69.01,70,24,1.01,CN,1598832231
9,Freetown,8.48,-13.23,75.94,89,100,11.7,SL,1598832400
10,Hobart,-42.88,147.33,48.2,49,20,11.41,AU,1598831995
11,Saint-Philippe,-21.36,55.77,68.0,68,36,6.93,RE,1598832209
12,Faanui,-16.48,-151.75,77.02,76,33,21.25,PF,1598832225
13,Vardø,70.37,31.11,46.4,75,20,4.7,NO,1598832401
14,Bāfq,31.61,55.41,65.59,30,0,3.67,IR,1598832401
15,Hilo,19.73,-155.09,84.2,62,75,10.29,US,1598832008
16,Ancud,-41.87,-73.82,46.99,92,83,1.01,CL,1598832214
17,Garoua Boulaï,5.88,14.55,65.01,97,59,2.62,CM,1598832402
18,Rikitea,-23.12,-134.97,69.37,83,33,17.67,PF,1598832194
19,Ushuaia,-54.8,-68.3,28.4,86,40,26.4,AR,1598832001
20,Boké,10.94,-14.3,74.5,94,100,3.62,GN,1598832403
21,Jamestown,42.1,-79.24,66.2,63,1,4.7,US,1598832187
22,Provideniya,64.38,-173.3,53.6,62,75,20.13,RU,1598832200
23,Kangaatsiaq,68.31,-53.46,44.13,86,0,9.04,GL,1598832367
24,Fos-sur-Mer,43.44,4.94,66.2,63,32,11.41,FR,1598832405
25,Airai,-8.93,125.41,68.77,66,23,6.11,TL,1598832065
26,Atuona,-9.8,-139.03,78.84,80,34,26.13,PF,1598832221
27,Sinnamary,5.38,-52.95,80.87,80,73,14.45,GF,1598832193
28,Pingliang,35.54,106.69,58.15,64,0,2.01,CN,1598832405
29,Upernavik,72.79,-56.15,40.3,86,94,10.38,GL,1598832205
30,Hambantota,6.12,81.12,80.46,80,98,14.03,LK,1598832221
31,Tasiilaq,65.61,-37.64,51.8,40,100,20.8,GL,1598832190
32,Tilichiki,60.47,166.1,52.32,65,99,18.05,RU,1598832406
33,San Isidro,-12.12,-77.05,60.8,82,90,8.05,PE,1598832406
34,Colares,38.8,-9.45,66.0,56,43,16.55,PT,1598832407
35,Jackson,42.42,-122.83,86.0,15,1,3.36,US,1598832180
36,Thomaston,32.89,-84.33,78.01,94,75,3.74,US,1598832407
37,Kholm-Zhirkovskiy,55.52,33.47,62.53,95,98,8.19,RU,1598832407
38,Albany,42.6,-73.97,66.0,51,0,6.4,US,1598832004
39,Nizhniy Tsasuchey,50.52,115.13,54.5,92,99,3.56,RU,1598832408
40,Pangnirtung,66.15,-65.71,50.72,51,48,2.84,CA,1598832220
41,Saint Paul Harbor,57.79,-152.41,55.4,87,90,12.75,US,1598832218
42,Inndyr,67.03,14.03,44.6,87,75,8.05,NO,1598832410
43,Chengzhong,30.95,113.55,78.8,88,0,4.47,CN,1598832410
44,Ca Mau,9.18,105.15,81.64,80,37,4.25,VN,1598832411
45,Mar del Plata,-38.0,-57.56,48.2,45,0,8.05,AR,1598832079
46,New Norfolk,-42.78,147.06,46.0,71,23,1.99,AU,1598832216
47,Dunedin,-45.87,170.5,62.01,38,100,10.0,NZ,1598832222
48,Nikolskoye,59.7,30.79,57.99,87,97,2.24,RU,1598832205
49,Yar-Sale,66.83,70.83,39.31,92,89,10.36,RU,1598832189
50,Tiksi,71.69,128.87,43.57,82,12,10.18,RU,1598832204
51,Boueni,-12.9,45.08,69.8,88,10,7.11,YT,1598832412
52,Geraldton,-28.77,114.6,48.2,87,0,8.05,AU,1598832230
53,Labuan,5.28,115.24,80.6,88,40,2.24,MY,1598832412
54,Hermanus,-34.42,19.23,37.99,85,3,1.01,ZA,1598832190
55,George Town,5.41,100.34,78.8,94,20,3.36,MY,1598832172
56,Mozarlândia,-14.74,-50.57,81.59,25,53,2.06,BR,1598832414
57,Nanortalik,60.14,-45.24,45.97,79,99,7.11,GL,1598832260
58,Arraial do Cabo,-22.97,-42.03,75.2,78,0,9.17,BR,1598832191
59,Labuhan,-6.88,112.21,77.02,74,98,10.11,ID,1598832263
60,Tsimmerbude,54.67,20.13,64.4,82,20,6.71,RU,1598832414
61,Busselton,-33.65,115.33,44.01,78,0,4.99,AU,1598832192
62,Souillac,-20.52,57.52,69.8,88,75,13.87,MU,1598832197
63,Kamyshin,50.1,45.42,63.77,50,0,0.83,RU,1598832189
64,Aldan,58.6,125.39,57.43,68,91,4.27,RU,1598832415
65,Mananjary,-21.22,48.33,66.13,91,13,1.95,MG,1598832415
66,Oleksandrivka,46.84,32.76,66.09,43,0,4.34,UA,1598832416
67,Kyra,49.58,111.98,53.13,92,100,2.06,RU,1598832229
68,Puerto Baquerizo Moreno,-0.9,-89.6,64.42,84,85,11.16,EC,1598832416
69,Kapaa,22.08,-159.32,86.0,62,40,18.34,US,1598832188
70,Half Moon Bay,37.46,-122.43,78.01,60,20,9.17,US,1598832215
71,Tura,25.52,90.22,74.75,93,100,4.45,IN,1598832289
72,Okhotsk,59.38,143.3,57.83,73,100,17.34,RU,1598832417
73,Flinders,-34.58,150.86,66.99,49,8,8.99,AU,1598832418
74,Vikhorevka,56.12,101.16,51.8,81,40,2.24,RU,1598832418
75,Karak,31.17,35.75,77.0,61,0,6.93,JO,1598832418
76,Adjumani,3.38,31.79,65.14,96,73,1.59,UG,1598832418
77,Najrān,17.49,44.13,77.0,31,77,3.62,SA,1598832419
78,Pacific Grove,36.62,-121.92,72.0,56,1,8.05,US,1598832275
79,Michigan City,41.71,-86.89,70.0,82,1,7.76,US,1598832419
80,Takoradze,4.88,-1.76,74.34,88,100,8.32,GH,1598832238
81,Panalingaan,8.78,117.42,82.92,74,96,2.82,PH,1598832420
82,Saint George,37.1,-113.58,97.0,13,1,11.41,US,1598832219
83,Buala,-8.14,159.59,85.46,73,32,11.05,SB,1598832219
84,Farmington,36.73,-108.22,89.6,13,1,16.11,US,1598832420
85,Chokurdakh,70.63,147.92,44.92,72,89,8.41,RU,1598832243
86,Pevek,69.7,170.31,40.28,77,12,7.94,RU,1598832197
